Java HotSpot(TM) 64-Bit Server VM (25.101-b13) for bsd-amd64 JRE (1.8.0_101-b13), built on Jun 22 2016 02:42:15 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(1015292k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.108: [GC (Allocation Failure) 0.108: [DefNew: 896K->64K(960K), 0.0013710 secs] 896K->381K(1048512K), 0.0014385 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.132: [GC (Allocation Failure) 0.132: [DefNew: 960K->64K(960K), 0.0017890 secs] 1277K->1221K(1048512K), 0.0018366 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.153: [GC (Allocation Failure) 0.153: [DefNew: 960K->64K(960K), 0.0013562 secs] 2117K->2097K(1048512K), 0.0013979 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.174: [GC (Allocation Failure) 0.174: [DefNew: 960K->63K(960K), 0.0015073 secs] 2993K->2972K(1048512K), 0.0015566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.202: [GC (Allocation Failure) 0.202: [DefNew: 959K->64K(960K), 0.0017536 secs] 3868K->3854K(1048512K), 0.0018064 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.223: [GC (Allocation Failure) 0.223: [DefNew: 960K->63K(960K), 0.0021906 secs] 4750K->4739K(1048512K), 0.0022567 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.253: [GC (Allocation Failure) 0.253: [DefNew: 959K->63K(960K), 0.0022080 secs] 5635K->5632K(1048512K), 0.0022672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.276: [GC (Allocation Failure) 0.276: [DefNew: 959K->63K(960K), 0.0022346 secs] 6528K->6511K(1048512K), 0.0022900 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.304: [GC (Allocation Failure) 0.304: [DefNew: 959K->63K(960K), 0.0021538 secs] 7407K->7403K(1048512K), 0.0022180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.332: [GC (Allocation Failure) 0.332: [DefNew: 959K->63K(960K), 0.0034770 secs] 8299K->8283K(1048512K), 0.0035693 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.363: [GC (Allocation Failure) 0.363: [DefNew: 959K->64K(960K), 0.0020528 secs] 9179K->9163K(1048512K), 0.0021082 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.384: [GC (Allocation Failure) 0.384: [DefNew: 960K->63K(960K), 0.0017620 secs] 10059K->10044K(1048512K), 0.0018013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.406: [GC (Allocation Failure) 0.406: [DefNew: 959K->63K(960K), 0.0015844 secs] 10940K->10927K(1048512K), 0.0016243 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.428: [GC (Allocation Failure) 0.428: [DefNew: 959K->63K(960K), 0.0022826 secs] 11823K->11803K(1048512K), 0.0023442 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.451: [GC (Allocation Failure) 0.451: [DefNew: 959K->63K(960K), 0.0022298 secs] 12699K->12684K(1048512K), 0.0022750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
